BLEURT,bleurt_text_score,bleurt_kg_score
text,-0.7169715166091919,-1.0760942697525024
text,-0.518822968006134,-0.5572821497917175
kg,-1.1320226192474365,-0.5704001784324646
text,-0.8426038026809692,-1.0190790891647339
text,-1.2742522954940796,-1.3133068084716797
text,-0.8199664950370789,-1.0399234294891357
text,-0.8765919208526611,-1.0016138553619385
text,-0.9843298196792603,-1.1412806510925293
kg,-0.8932201862335205,-0.7050904035568237
kg,-1.1992913484573364,-0.8019511103630066
kg,-1.0647485256195068,-1.030646800994873
kg,-1.179925799369812,-1.1287280321121216
kg,-1.0432082414627075,-1.0222158432006836
text,-0.728487491607666,-0.8130853772163391
text,-0.8315810561180115,-0.9015426635742188
kg,-0.14058612287044525,-0.09370541572570801
kg,-0.8440706729888916,-0.6669868230819702
kg,-0.9120022058486938,-0.8508915901184082
kg,-0.5521599054336548,-0.4439808130264282
text,0.003443196415901184,-0.09767736494541168
text,-0.7588115930557251,-0.8869609832763672
text,-0.6232683658599854,-0.8888335227966309
kg,-1.1078754663467407,-0.8796366453170776
text,-1.2422761917114258,-1.2574453353881836
kg,-1.0715696811676025,-0.8299251198768616
text,-0.48653995990753174,-0.7669376134872437
kg,-0.7361109852790833,-0.6851919293403625
text,-0.8704540729522705,-1.17795729637146
text,-0.5596113801002502,-1.001806616783142
text,-0.7929292321205139,-0.8159379959106445
kg,-0.6252939701080322,-0.45793867111206055
kg,-0.7594107389450073,-0.5917295217514038
text,-0.9387180805206299,-0.9567816257476807
kg,-0.9223518371582031,-0.7770150899887085
kg,-0.9829400777816772,-0.789012610912323
kg,-0.6465059518814087,-0.4895761013031006
text,-0.8996167182922363,-0.9820317029953003
text,-0.8299715518951416,-0.8672291040420532
total_count,165,111
